algorithm_id,paper,role,implementation,data,protocol,status,key_result,difference_from_paper,run_id,next_step
D-LR,Lopez-Paz & Oquab 2017 / Snoke et al. 2018,经典,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""auprc"": 0.9395958135207899, ""auroc"": 0.9287115555555556, ""balanced_accuracy"": 0.8280000000000001, ""brier"": 0.12114586501613844, ""ece"": 0.12545988377031025, ""f1"": 0.8057228915662651, ""label_permutation_auroc"": 0.4854496888888889, ""label_permutation_aurocs"": [0.4848786666666667, 0.5259297777777778, 0.47911111111111104, 0.3959475555555556, 0.5413813333333333], ""pmse"": 0.08850281059017648, ""reload_max_delta"": 0.0, ""tpr_at_fpr_005"": 0.68}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-d-lr-20260715T025856794836,formal 5-seed/full benchmark later
D-XGB,Zein & Urvoy 2022,经典,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""auprc"": 0.9994723791829412, ""auroc"": 0.999452888888889, ""balanced_accuracy"": 0.988, ""brier"": 0.00977572683311584, ""ece"": 0.015601049030199633, ""f1"": 0.9879194630872483, ""label_permutation_auroc"": 0.45280515555555556, ""label_permutation_aurocs"": [0.4532937777777778, 0.5062686666666667, 0.5256473333333334, 0.3337111111111111, 0.4451048888888889], ""reload_max_delta"": 0.0, ""tpr_at_fpr_005"": 0.996}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-d-xgb-20260715T025903115090,formal 5-seed/full benchmark later
D-3G,Kindji et al. 2025,直接基线,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""auprc"": 0.6483746604607662, ""auroc"": 0.6470661157024793, ""balanced_accuracy"": 0.5, ""brier"": 0.3317406967508666, ""ece"": 0.29438580452184093, ""f1"": 0.6666666666666666, ""shuffled_auroc"": 0.6166322314049586, ""tpr_at_fpr_005"": 0.15454545454545454}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-d-3g-20260715T025239531938,formal 5-seed/full benchmark later
D-FT,Kindji et al. 2025,直接基线,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""auprc"": 0.5397073251430402, ""auroc"": 0.54515625, ""balanced_accuracy"": 0.5, ""brier"": 0.25005637858158314, ""ece"": 0.015137660875916503, ""f1"": 0.0, ""parameter_count"": 5537, ""reload_max_delta"": 0.0, ""tpr_at_fpr_005"": 0.0625, ""truncation_rate"": 1.0}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-d-ft-20260715T025239973258,formal 5-seed/full benchmark later
D-TT,Kindji et al. 2025,直接基线,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""auprc"": 0.37867439154710303, ""auroc"": 0.2859375, ""balanced_accuracy"": 0.5, ""brier"": 0.25216222227899854, ""ece"": 0.03260210994631052, ""f1"": 0.0, ""parameter_count"": 7049, ""reload_max_delta"": 0.0, ""tpr_at_fpr_005"": 0.0, ""truncation_rate"": 0.0}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-d-tt-20260715T025241846411,formal 5-seed/full benchmark later
D-DW,Kindji et al. 2026,SOTA核心,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""auprc"": 0.37648839822578584, ""auroc"": 0.28171874999999996, ""balanced_accuracy"": 0.5, ""brier"": 0.252738005351293, ""column_permutation_max_delta"": 5.960464477539063e-08, ""ece"": 0.036797722801566124, ""f1"": 0.0, ""parameter_count"": 6265, ""reload_max_delta"": 0.0, ""tpr_at_fpr_005"": 0.0, ""truncation_rate"": 0.0}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-d-dw-20260715T025244913596,formal 5-seed/full benchmark later
D-DWTA,Kindji et al. 2026,SOTA核心,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""auprc"": 0.39531463088914875, ""auroc"": 0.30078125, ""balanced_accuracy"": 0.5, ""brier"": 0.2539614165409111, ""column_permutation_max_delta"": 5.960464477539063e-08, ""ece"": 0.05327109061181545, ""f1"": 0.0, ""parameter_count"": 6265, ""reload_max_delta"": 0.0, ""tpr_at_fpr_005"": 0.0125, ""truncation_rate"": 0.0}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-d-dwta-20260715T025251199918,formal 5-seed/full benchmark later
Q-CC,经典量化/效用方法,经典,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""bags"": 21, ""bias"": -0.004190476190476198, ""mae"": 0.008952380952380958, ""max_absolute_error"": 0.02300000000000002, ""out_of_range_rate"": 0.0, ""rmse"": 0.011028102630055986, ""score_source"": ""D-XGB shared frozen scores""}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-q-cc-20260715T025320176607,formal 5-seed/full benchmark later
Q-PCC,经典量化/效用方法,经典,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""bags"": 21, ""bias"": 0.0029036439290891078, ""mae"": 0.02001797513847816, ""max_absolute_error"": 0.034731111168861406, ""out_of_range_rate"": 0.0, ""rmse"": 0.021889191394349982, ""score_source"": ""D-XGB shared frozen scores""}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-q-pcc-20260715T025322641124,formal 5-seed/full benchmark later
Q-ACC,经典量化/效用方法,经典,paper_aligned_self/local official package,Adult GaussianCopula; cross-table methods also Adult/Credit/Abalone,runthrough/smoke,runthrough_passed,"{""bags"": 21, ""bias"": 0.00018341550782430965, ""mae"": 0.0019139023397852985, ""max_absolute_error"": 0.007117946104009329, ""out_of_range_rate"": 0.23809523809523808, ""rmse"": 0.0027352123127315662, ""score_source"": ""D-XGB shared frozen scores""}",CPU tiny/single seed/subset; not paper performance reproduction,runthrough-q-acc-20260715T025322849214,formal 5-seed/full benchmark later
